Cost per item,Product Rating Count,Material,Color,Size,Fit,Compare At Price,Clusters
763.71,166,Rubber,Black,Small,Universal Fit,892.44,Low
818.05,298,Plastic,Silver,Medium,Universal Fit,860.63,Low
759.17,484,Carbon Fiber,Silver,Medium,Universal Fit,927.46,Low
13969.34,304,Plastic,Silver,Medium,Universal Fit,14042.97,Low
13971.14,170,Rubber,Gray,XL,Custom Fit,14109.82,Low
13891.69,481,Rubber,Black,Large,Universal Fit,14006.31,Low
13994.99,291,Steel,Black,Medium,Universal Fit,14089.62,Low
13922.67,250,Carbon Fiber,Red,XL,Custom Fit,14052.39,Low
13864.26,337,Aluminum,Silver,Large,Universal Fit,13984.57,Low
14023.4,375,Rubber,Black,Large,Universal Fit,14093.21,Low
13963.13,447,Rubber,Blue,Large,Custom Fit,14087.19,Low
13899.38,280,Plastic,Gray,Large,Universal Fit,14025.07,Low
13937.24,221,Steel,Gray,Small,Custom Fit,14114.27,Low
13977.8,273,Aluminum,Black,Large,Universal Fit,14086.14,Low
13954.54,89,Carbon Fiber,Black,Medium,Custom Fit,14066.03,Low
13919.83,246,Carbon Fiber,Red,XL,Custom Fit,14033.29,Low
13983.69,472,Rubber,Gray,Medium,Universal Fit,14089.85,Low
13883.7,136,Rubber,Gray,XL,Custom Fit,14039.2,Low
14029.8,6,Rubber,Gray,Large,Custom Fit,14122.86,Low
29885.15,363,Steel,Blue,Medium,Universal Fit,30030.39,Mid
29965.69,172,Plastic,Silver,Medium,Custom Fit,30030.46,Mid
29928.26,465,Rubber,Blue,Medium,Custom Fit,29999.05,Mid
29955.36,118,Plastic,Black,XL,Universal Fit,30056.8,Mid
29856.01,236,Plastic,Gray,XL,Universal Fit,30029.65,Mid
30006.2,352,Plastic,Silver,XL,Universal Fit,30113.77,Mid
29900.86,43,Aluminum,Red,Medium,Universal Fit,30033.85,Mid
29917.91,454,Carbon Fiber,Silver,Large,Custom Fit,30075.17,Mid
29930.68,157,Rubber,Gray,XL,Custom Fit,30027.03,Mid
29942.64,216,Aluminum,Silver,XL,Universal Fit,30032.25,Mid
29881.58,107,Steel,Blue,XL,Custom Fit,30030.47,Mid
29996.45,276,Aluminum,Gray,Medium,Custom Fit,30101.42,Mid
29980.51,54,Rubber,Black,XL,Custom Fit,30087.09,Mid
29958.21,245,Carbon Fiber,Gray,Medium,Custom Fit,30066.8,Mid
