Date,Petrol
15-Jan-00,25.94
03-Apr-00,26.07
30-Sep-00,28.44
03-Nov-00,28.7
12-Jan-02,27.54
01-Mar-02,26.54
04-Jun-02,28.94
16-Jun-02,29.18
16-Aug-02,29
01-Sep-02,29.2
16-Sep-02,29.66
01-Oct-02,29.91
17-Oct-02,30.24
01-Nov-02,30.26
16-Nov-02,29.57
01-Dec-02,28.91
03-01-2003,29.93
16-Jan-03,30.33
01-Feb-03,30.71
01-Mar-03,32.1
16-Mar-03,33.49
16-Apr-03,32.49
27-Apr-03,31.49
01-May-03,31.5
16-May-03,30.4
01-Jun-03,30.3
01-Sep-03,32.4
16-Oct-03,31.7
16-Dec-03,32.7
01-Jan-04,33.7
01-Mar-04,33.71
16-Jun-04,35.71
01-Aug-04,36.81
05-Nov-04,39
16-Nov-04,37.84
21-Jun-05,40.49
07-Sep-05,43.49
04-Jan-06,43.51
06-Jun-06,47.51
30-Nov-06,44.85
03-Jan-07,42.85
16-Feb-07,42.85
06-Jun-07,43.52
15-Feb-08,45.52
24-May-08,45.56
05-Jun-08,50.56
18-Jul-08,50.62
06-Dec-08,45.62
29-Jan-09,40.62
02-Jul-09,44.63
27-Oct-09,44.72
27-Feb-10,47.43
01-Apr-10,47.93
26-Jun-10,51.43
01-Jul-10,51.45
20-Jul-10,51.45
09-Aug-10,51.56
21-Sep-10,51.83
17-Oct-10,52.59
09-Nov-10,52.91
16-Dec-10,55.87
16-Jan-11,58.37
15-May-11,63.37
24-May-12,43.95
23-May-13,52.92
13-May-14,71.41
01-Jun-14,71.51
07-Jun-14,71.51
25-Jun-14,71.56
01-Jul-14,73.6
01-Aug-14,72.51
15-Aug-14,70.33
31-Aug-14,68.51
01-Oct-14,67.86
15-Oct-14,66.65
01-Nov-14,64.24
01-Dec-14,63.33
16-Dec-14,61.33
17-Jan-15,58.91
04-Feb-15,56.49
16-Feb-15,57.31
01-Mar-15,60.49
02-Apr-15,60
16-Apr-15,59.2
01-May-15,63.16
16-May-15,66.29
16-Jun-15,66.93
01-Jul-15,66.62
16-Jul-15,66.9
01-Aug-15,64.47
16-Aug-15,63.2
01-Sep-15,61.2
01-Nov-15,60.7
16-Nov-15,61.06
01-Dec-15,60.48
16-Dec-15,59.98
01-Jan-16,59.35
16-Jan-16,59.03
19-Jan-16,59.99
01-Feb-16,59.95
18-Feb-16,59.63
01-Mar-16,56.61
10-Mar-16,56.61
17-Mar-16,59.68
05-Apr-16,61.87
09-Apr-16,61.87
16-Apr-16,61.13
01-May-16,62.19
17-May-16,63.02
01-Jun-16,65.6
16-Jun-16,65.65
01-Jul-16,64.76
16-Jul-16,62.51
01-Aug-16,61.09
16-Aug-16,60.09
01-Sep-16,63.47
16-Sep-16,64.21
01-Oct-16,64.58
05-Oct-16,64.72
16-Oct-16,66.45
06-Nov-16,67.62
16-Nov-16,65.93
01-Dec-16,66.1
17-Dec-16,68.94
02-Jan-17,70.6
16-Jan-17,71.14
01-Apr-17,66.29
16-Apr-17,68.07
01-May-17,68.09
16-May-17,65.32
16-May-17,68.09
01-Jun-17,66.91
16-Jun-17,65.48
17-Jun-17,65.23
18-Jun-17,64.91
19-Jun-17,64.65
20-Jun-17,64.55
21-Jun-17,64.55
22-Jun-17,64.44
23-Jun-17,64.23
24-Jun-17,63.99
25-Jun-17,63.71
26-Jun-17,63.55
27-Jun-17,63.46
28-Jun-17,63.46
29-Jun-17,63.47
30-Jun-17,63.31
01-Jul-17,63.09
02-Jul-17,63.06
03-Jul-17,63.13
04-Jul-17,63.08
05-Jul-17,63.08
06-Jul-17,63.19
07-Jul-17,63.33
08-Jul-17,63.46
